state,date,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,dec_percent_bed_used,dec_percent_beds_used_COVID,dec_percent_COVID_of_beds_used
HI,5/25/20,1920,1989,13,1.0359375,0.006770833,0.006535948
MO,11/8/20,20350,13372,2201,0.657100737,0.108157248,0.164597667
KY,10/21/20,13790,9640,853,0.699057288,0.061856418,0.088485477
FL,9/18/20,77093,44669,3058,0.579417068,0.039666377,0.06845911
WI,7/19/20,7593,4526,510,0.596075333,0.067167128,0.11268228
DE,8/25/20,2514,1981,77,0.787987271,0.030628481,0.038869258
MD,7/13/20,1459,1198,191,0.82111035,0.130911583,0.159432387
MI,10/31/20,23456,17505,1790,0.746290928,0.076313097,0.102256498
MT,9/13/20,2568,1959,111,0.762850467,0.043224299,0.056661562
LA,6/12/20,8671,4547,630,0.52439165,0.07265598,0.138552892
